Entity_Label,Frequency
"('ibaikoisquadcom', 'ORG')",229
"('ibaivizzagencycom', 'ORG')",133
"('messi', 'PER')",35
"('españa', 'LOC')",29
"('madrid', 'ORG')",23
"('vinicius', 'PER')",14
"('benzema', 'PER')",13
"('barcelona', 'LOC')",11
"('kingsleague', 'ORG')",10
"('mbappé', 'PER')",10
"('leagar', 'PER')",9
"('segovia', 'PER')",9
"('luis', 'PER')",7
"('madrid', 'LOC')",7
"('cichero', 'PER')",7
"('david', 'PER')",7
"('zidane', 'PER')",7
"('javi', 'PER')",7
"('modrić', 'PER')",7
"('leo', 'PER')",6
"('andrés', 'PER')",6
"('españa', 'ORG')",6
"('djmariio', 'PER')",6
"('neymar', 'PER')",6
"('raúl', 'PER')",6
"('lao', 'PER')",6
"('hugo', 'PER')",6
"('latinoamérica', 'LOC')",6
"('barcelona', 'ORG')",5
"('liverpool', 'ORG')",5
"('brasil', 'ORG')",5
"('agüero', 'PER')",5
"('karim', 'PER')",5
"('gabriel', 'PER')",5
"('fraile', 'PER')",5
"('kiliar', 'PER')",5
"('australia', 'LOC')",5
"('sevilla', 'ORG')",5
"('ronaldo', 'PER')",5
"('spain', 'LOC')",5
"('bayern', 'ORG')",4
"('cristinini', 'PER')",4
"('valverde', 'PER')",4
"('mallorca', 'LOC')",4
"('iniesta', 'PER')",4
"('monterrey', 'LOC')",4
"('dani', 'PER')",4
"('lópez', 'PER')",4
"('lionel', 'PER')",4
"('xavi', 'PER')",4
"('sergio', 'PER')",4
"('berlín', 'LOC')",4
"('bernabéu', 'PER')",4
"('ronaldinho', 'PER')",3
"('reyes', 'PER')",3
"('real', 'ORG')",3
"('barça', 'ORG')",3
"('rauwalejandro', 'PER')",3
"('jaime', 'PER')",3
"('piqué', 'PER')",3
"('espinosa', 'PER')",3
"('llanos', 'PER')",3
"('maradona', 'PER')",3
"('zinedine', 'PER')",3
"('kylian', 'PER')",3
"('croacia', 'ORG')",3
"('casemiro', 'PER')",3
"('dembélé', 'PER')",3
"('ancelotti', 'PER')",3
"('luka', 'PER')",3
"('australia', 'ORG')",3
"('fernando', 'PER')",3
"('lewandowski', 'PER')",3
"('uefa', 'ORG')",3
"('germán', 'PER')",2
"('garmendia', 'PER')",2
"('fc', 'ORG')",2
"('chicharito', 'PER')",2
"('bolivia', 'ORG')",2
"('uruguay', 'ORG')",2
"('auronplay', 'PER')",2
"('rosalia', 'PER')",2
"('lolito', 'PER')",2
"('mourinho', 'PER')",2
"('carolo', 'PER')",2
"('spursito', 'PER')",2
"('duki', 'PER')",2
"('rubius', 'PER')",2
"('bruyne', 'PER')",2
"('alguersuari', 'PER')",2
"('karchez', 'PER')",2
"('requena', 'PER')",2
"('ripoll', 'PER')",2
"('kilian', 'PER')",2
"('tito', 'PER')",2
"('javier', 'PER')",2
"('segovio', 'PER')",2
"('banquillo', 'PER')",2
"('keylor', 'PER')",2
"('aston', 'PER')",2
"('erling', 'PER')",2
"('kevin', 'PER')",2
"('espinoso', 'PER')",2
"('jo él', 'PER')",2
"('honorato', 'PER')",2
"('miami', 'LOC')",2
"('díaz', 'PER')",2
"('martínez', 'PER')",2
"('marcos', 'PER')",2
"('gavi', 'PER')",2
"('thibaut', 'PER')",2
"('él', 'PER')",2
"('joan', 'PER')",2
"('méxico', 'ORG')",2
"('álvaro', 'PER')",2
"('kanté', 'PER')",2
"('gakpo', 'PER')",2
"('jordi', 'PER')",2
"('alba', 'PER')",2
"('colombia', 'LOC')",2
"('suecia', 'LOC')",2
"('enrique', 'PER')",2
"('manchester', 'ORG')",2
"('united', 'ORG')",2
"('alonso', 'PER')",2
"('justin', 'PER')",2
"('bieber', 'PER')",2
"('drake', 'PER')",2
"('miguel', 'PER')",2
"('lunin', 'PER')",2
"('bryant', 'PER')",2
"('sevilla', 'LOC')",2
"('groenlandia', 'LOC')",2
"('psg', 'ORG')",2
"('sainz', 'PER')",2
"('kiev', 'ORG')",2
"('lituania', 'LOC')",2
"('mario', 'PER')",2
"('rosalía', 'PER')",1
"('leaguecrownsoccer', 'MISC')",1
"('coscu', 'PER')",1
"('xbuyer', 'PER')",1
"('kings', 'ORG')",1
"('porcino', 'PER')",1
"('rayo', 'PER')",1
"('don', 'PER')",1
"('canelo', 'PER')",1
"('kings', 'PER')",1
"('givenchy', 'PER')",1
"('fifa', 'ORG')",1
"('djmariio', 'MISC')",1
"('culé', 'PER')",1
"('cuba', 'ORG')",1
"('perú', 'ORG')",1
"('bulgaria', 'ORG')",1
"('sergi', 'PER')",1
"('roberto', 'PER')",1
"('grefg', 'PER')",1
"('juansguarnizo', 'PER')",1
"('cristiano', 'PER')",1
"('willyrex', 'PER')",1
"('papo', 'PER')",1
"('ocelote', 'PER')",1
"('rever', 'PER')",1
"('barbeq', 'PER')",1
"('kingsleagueofficial', 'ORG')",1
"('realmadrid', 'ORG')",1
"('laveladadelaño', 'ORG')",1
"('mangelrogel', 'PER')",1
"('elrubiusomg', 'PER')",1
"('alexelcapo', 'PER')",1
"('srcheeto', 'PER')",1
"('elxokas', 'PER')",1
"('misterjagger', 'PER')",1
"('elrich', 'PER')",1
"('osasunabarcelona', 'ORG')",1
"('fedir', 'PER')",1
"('ferrar', 'PER')",1
"('torre', 'PER')",1
"('aiko', 'PER')",1
"('komanche', 'PER')",1
"('astrid', 'PER')",1
"('carola', 'PER')",1
"('paulo', 'PER')",1
"('skain', 'PER')",1
"('paular', 'PER')",1
"('albo', 'PER')",1
"('albar', 'PER')",1
"('andreo', 'PER')",1
"('andrear', 'PER')",1
"('nicki', 'PER')",1
"('nico él', 'PER')",1
"('arigameplay', 'PER')",1
"('paracetamor', 'PER')",1
"('viruzz', 'PER')",1
"('luzu', 'PER')",1
"('jagger', 'PER')",1
"('jesus', 'PER')",1
"('fodir', 'PER')",1
"('bernardo', 'PER')",1
"('ortopilot', 'ORG')",1
"('silithur', 'PER')",1
"('jacky', 'PER')",1
"('aleks', 'PER')",1
"('klaus', 'PER')",1
"('cicheroooo', 'PER')",1
"('italia', 'LOC')",1
"('jacobo', 'PER')",1
"('kingsleaguepro', 'MISC')",1
"('chándal', 'PER')",1
"('segoviar', 'PER')",1
"('gill', 'PER')",1
"('pessi', 'PER')",1
"('cruyff', 'PER')",1
"('ámsterdam', 'ORG')",1
"('francia', 'ORG')",1
"('holanda', 'ORG')",1
"('inglaterra', 'ORG')",1
"('ecuador', 'ORG')",1
"('colombio', 'ORG')",1
"('chile', 'ORG')",1
"('portugal', 'ORG')",1
"('santos', 'PER')",1
"('aveiro', 'PER')",1
"('diego', 'PER')",1
"('xavier', 'PER')",1
"('hernández', 'PER')",1
"('suárez', 'PER')",1
"('nava', 'PER')",1
"('esmiz', 'PER')",1
"('smith', 'PER')",1
"('yosedefutbolcomdo', 'MISC')",1
"('stegir', 'PER')",1
"('villamanchester', 'PER')",1
"('bruno', 'PER')",1
"('fernand', 'PER')",1
"('kyliar', 'PER')",1
"('éder', 'PER')",1
"('rashford', 'PER')",1
"('inglaterra', 'LOC')",1
"('posvelado', 'PER')",1
"('isabel', 'PER')",1
"('ayuso', 'PER')",1
"('boluda', 'PER')",1
"('brasil', 'LOC')",1
"('martin', 'PER')",1
"('norauto', 'ORG')",1
"('cesc', 'PER')",1
"('pepe', 'PER')",1
"('reinar', 'PER')",1
"('arbeloa', 'PER')",1
"('josé', 'PER')",1
"('iker', 'PER')",1
"('palo', 'PER')",1
"('orellana', 'PER')",1
"('juvenal', 'PER')",1
"('fabián', 'PER')",1
"('orellán', 'PER')",1
"('argentinaméxico', 'ORG')",1
"('kingsley', 'ORG')",1
"('potter', 'PER')",1
"('beckham', 'PER')",1
"('porcinosrayo', 'PER')",1
"('gerard', 'PER')",1
"('canet', 'PER')",1
"('segoviir', 'PER')",1
"('messirve', 'PER')",1
"('vinci', 'PER')",1
"('totis', 'PER')",1
"('connorato', 'PER')",1
"('espinozar', 'PER')",1
"('alexi', 'PER')",1
"('colombia', 'ORG')",1
"('fichero', 'PER')",1
"('tabudo', 'PER')",1
"('chícharo', 'PER')",1
"('venezuela', 'ORG')",1
"('xokas', 'PER')",1
"('ferrir', 'PER')",1
"('deschamps', 'PER')",1
"('queréi', 'PER')",1
"('maría', 'PER')",1
"('dibu', 'PER')",1
"('getafe', 'PER')",1
"('gvardiol', 'PER')",1
"('croaciafrancia', 'ORG')",1
"('brozović', 'PER')",1
"('perišić', 'PER')",1
"('rakitić', 'PER')",1
"('kovačić', 'PER')",1
"('tomás', 'PER')",1
"('roncero', 'PER')",1
"('alemania', 'ORG')",1
"('saudí', 'PER')",1
"('pogba', 'PER')",1
"('ibai', 'PER')",1
"('achraf', 'PER')",1
"('hakimi', 'PER')",1
"('montiel', 'PER')",1
"('argentinacroaciar', 'ORG')",1
"('otamendi', 'PER')",1
"('cody', 'PER')",1
"('weghorst', 'PER')",1
"('gaal', 'PER')",1
"('sabiri', 'PER')",1
"('unai', 'PER')",1
"('simón', 'PER')",1
"('sarabia', 'PER')",1
"('sarabio', 'PER')",1
"('ziyech', 'PER')",1
"('pedri', 'PER')",1
"('olmo', 'PER')",1
"('suiza', 'ORG')",1
"('chucky', 'PER')",1
"('lozano', 'PER')",1
"('jiménez', 'PER')",1
"('milinkovićsavić', 'PER')",1
"('japón', 'ORG')",1
"('brasilargentina', 'ORG')",1
"('franciaespaña', 'ORG')",1
"('portugalargentina', 'ORG')",1
"('brasilfrancia', 'ORG')",1
"('brasilinglaterra', 'ORG')",1
"('brasilportugal', 'ORG')",1
"('vladimir', 'PER')",1
"('ferran', 'PER')",1
"('españacroacia', 'ORG')",1
"('baldir', 'PER')",1
"('koke', 'PER')",1
"('merino', 'PER')",1
"('inglaterrafrancia', 'ORG')",1
"('argentinaméxico', 'LOC')",1
"('bellingham', 'PER')",1
"('enner', 'PER')",1
"('saka', 'PER')",1
"('paquetá', 'PER')",1
"('haaland', 'PER')",1
"('mané', 'PER')",1
"('celsir', 'PER')",1
"('verratti', 'PER')",1
"('mendy', 'PER')",1
"('ramos', 'PER')",1
"('reecir', 'PER')",1
"('bayer', 'ORG')",1
"('leverkusen', 'ORG')",1
"('dublín', 'LOC')",1
"('amunike', 'PER')",1
"('getafe', 'ORG')",1
"('zizou', 'PER')",1
"('york', 'LOC')",1
"('rodrygo', 'PER')",1
"('benzemo', 'PER')",1
"('síguelar', 'PER')",1
"('federico', 'PER')",1
"('courtois', 'PER')",1
"('dembélar', 'PER')",1
"('kroos', 'PER')",1
"('phelps', 'PER')",1
"('ansuferran', 'PER')",1
"('camavinguir', 'PER')",1
"('voldemort', 'PER')",1
"('andrea', 'PER')",1
"('cánova', 'PER')",1
"('nazário', 'PER')",1
"('willyrex', 'ORG')",1
"('guetta', 'PER')",1
"('tiësto', 'PER')",1
"('kiko', 'PER')",1
"('rivera', 'PER')",1
"('ibaisinho', 'PER')",1
"('souza', 'PER')",1
"('gary', 'PER')",1
"('dubai', 'PER')",1
"('garatea', 'PER')",1
"('billy', 'PER')",1
"('hernán', 'PER')",1
"('gómez', 'PER')",1
"('valdez', 'PER')",1
"('juventus', 'ORG')",1
"('valdemoro', 'PER')",1
"('velázquez', 'PER')",1
"('leal', 'PER')",1
"('slugterra', 'PER')",1
"('usain', 'PER')",1
"('rusia', 'LOC')",1
"('jenson', 'PER')",1
"('penedès', 'LOC')",1
"('villafranca', 'LOC')",1
"('gorbachov', 'PER')",1
"('samsung', 'ORG')",1
"('fernanfloo', 'PER')",1
"('madonna', 'PER')",1
"('chris', 'PER')",1
"('evans', 'PER')",1
"('tailandia', 'LOC')",1
"('giorgio', 'PER')",1
"('george', 'PER')",1
"('ruwais', 'PER')",1
"('vallejo', 'PER')",1
"('ugarte', 'PER')",1
"('colombiaespaña', 'LOC')",1
"('vázquez', 'PER')",1
"('shakira', 'PER')",1
"('jacksepticeye', 'PER')",1
"('liverpoolreal', 'ORG')",1
"('carvajal', 'PER')",1
"('vinícius', 'PER')",1
"('gareth', 'PER')",1
"('carletto', 'PER')",1
"('olimpo', 'PER')",1
"('kroos', 'ORG')",1
"('kobe', 'PER')",1
"('dončić', 'PER')",1
"('chavalito', 'PER')",1
"('randy', 'PER')",1
"('rodríguez', 'PER')",1
"('mike', 'PER')",1
"('luzuvlogs', 'PER')",1
"('luzugam', 'PER')",1
"('luzuylán', 'PER')",1
"('cartagén', 'PER')",1
"('indurain', 'PER')",1
"('perico', 'PER')",1
"('alejandro', 'PER')",1
"('einstein', 'PER')",1
"('barack', 'PER')",1
"('obamar', 'PER')",1
"('badalona', 'LOC')",1
"('iniestar', 'PER')",1
"('mijatović', 'PER')",1
"('esnáider', 'PER')",1
"('ablanedo', 'PER')",1
"('federer', 'ORG')",1
"('randalf', 'PER')",1
"('axozer', 'PER')",1
"('frar', 'PER')",1
"('luque', 'PER')",1
"('eslovaquia', 'LOC')",1
"('islandia', 'LOC')",1
"('albania', 'LOC')",1
"('zelanda', 'LOC')",1
"('vietnam', 'LOC')",1
"('irlanda', 'LOC')",1
"('singapur', 'LOC')",1
"('madagascar', 'LOC')",1
"('antananarivo', 'LOC')",1
"('rumanía', 'LOC')",1
"('eslovenia', 'LOC')",1
"('madridmanchester', 'ORG')",1
"('siro', 'PER')",1
"('cardiff', 'ORG')",1
"('coromina', 'PER')",1
"('cityreal', 'ORG')",1
"('city', 'ORG')",1
"('coruña', 'ORG')",1
"('guardiola', 'PER')",1
"('Ibai', 'PER')",1
"('Álex', 'PER')",1
"('Maldita', 'PER')",1
"('Piqué', 'PER')",1
"('España', 'LOC')",1
"('Copa', 'MISC')",1
"('Mundo', 'MISC')",1
"('Globos', 'MISC')",1
"('Gerard', 'PER')",1
"('Barça', 'ORG')",1
"('Madrid', 'ORG')",1
"('enzo', 'PER')",1
"('Enzo', 'PER')",1
"('Pol', 'PER')",1
"('Encantado', 'PER')",1
"('Twitch', 'MISC')",1
"('Kois', 'PER')",1
"('Pandarina', 'PER')",1
"('Ander', 'PER')",1
"('Cortés', 'PER')",1
"('Antonio', 'PER')",1
"('Knekro', 'PER')",1
"('Internet', 'MISC')",1
"('Karmine', 'PER')",1
"('Corp', 'PER')",1
"('Rekkles', 'PER')",1
"('Mellado', 'PER')",1
"('Despierta', 'PER')",1
"('Kcorp', 'ORG')",1
"('Nashor', 'PER')",1
"('Saken', 'PER')",1
"('Shark', 'PER')",1
"('Seaz', 'PER')",1
"('Lee', 'PER')",1
"('Cabochard', 'PER')",1
"('Dominus', 'PER')",1
"('Europa', 'ORG')",1
"('piegrandecom', 'ORG')",1
"('valencia', 'LOC')",1
"('rajao', 'LOC')",1
"('madridpsg', 'ORG')",1
"('balvin', 'PER')",1
"('ozuna', 'PER')",1
"('karol', 'PER')",1
"('beatriz', 'PER')",1
"('galicia', 'LOC')",1
"('vendrell', 'PER')",1
"('marc', 'PER')",1
"('gené', 'PER')",1
"('michael', 'PER')",1
"('schumacher', 'PER')",1
"('montoya', 'PER')",1
"('narré', 'PER')",1
"('heidfeld', 'PER')",1
"('méxico', 'LOC')",1
"('murcia', 'ORG')",1
"('perezar', 'PER')",1
"('xmir', 'PER')",1
"('paco', 'PER')",1
"('altozano', 'PER')",1
"('ibrahimović', 'PER')",1
"('iličić', 'PER')",1
"('djclickbait', 'MISC')",1
"('múnichbarça', 'ORG')",1
"('dinamo', 'ORG')",1
"('benfico', 'ORG')",1
"('barçabayern', 'ORG')",1
"('nagelsmann', 'PER')",1
"('leroy', 'PER')",1
"('sané', 'PER')",1
"('oliver', 'PER')",1
"('villarreal', 'ORG')",1
"('neymarmessi', 'PER')",1
"('alfredo', 'PER')",1
"('israel', 'ORG')",1
"('érick', 'PER')",1
"('franquesa', 'PER')",1
"('donaruma', 'PER')",1
"('rafa', 'PER')",1
"('martiño', 'PER')",1
"('vinaldo', 'PER')",1
"('berral', 'PER')",1
"('chicago', 'ORG')",1
"('touré', 'PER')",1
"('yaya', 'PER')",1
"('henry', 'PER')",1
"('etoo', 'PER')",1
"('alv', 'PER')",1
"('rubén', 'PER')",1
"('gago', 'PER')",1
"('higuain', 'PER')",1
"('ramos', 'ORG')",1
"('fabio', 'PER')",1
"('cannavaro', 'PER')",1
"('italia', 'ORG')",1
"('metzelder', 'PER')",1
"('xabi', 'PER')",1
"('sami', 'PER')",1
"('khedira', 'PER')",1
"('acb', 'ORG')",1
"('jefecito', 'PER')",1
"('maxwell', 'PER')",1
"('bojar', 'PER')",1
"('kirkic', 'PER')",1
"('slavir', 'PER')",1
"('eupen', 'ORG')",1
"('valladolid', 'ORG')",1
"('weinstein', 'PER')",1
"('ungakistán', 'LOC')",1
"('ámsterdam', 'LOC')",1
"('vélez', 'PER')",1
"('andrei', 'PER')",1
"('valverde', 'ORG')",1
"('jay', 'PER')",1
"('vianey', 'PER')",1
"('salvini', 'PER')",1
"('hemsworth', 'PER')",1
"('imanol', 'PER')",1
"('rayao', 'PER')",1
"('benzemar', 'PER')",1
"('mumbai', 'LOC')",1
"('saleh', 'PER')",1
"('versace', 'ORG')",1
